Entity,Code,Date,"Excess mortality P-scores, all ages (%)"
Finland,FIN,"Jun 7, 2020",1
Finland,FIN,"Jun 14, 2020",5
Finland,FIN,"Jun 21, 2020",10
Finland,FIN,"Jun 28, 2020",6
Finland,FIN,"Jul 5, 2020",4
Finland,FIN,"Jul 12, 2020",-2
Finland,FIN,"Jul 19, 2020",5
Finland,FIN,"Jul 26, 2020",-6
Finland,FIN,"Aug 2, 2020",-4
Finland,FIN,"Aug 9, 2020",-36
France,FRA,"Jan 5, 2020",-5
France,FRA,"Jan 12, 2020",-3
France,FRA,"Jan 19, 2020",-5
France,FRA,"Jan 26, 2020",-6
France,FRA,"Feb 2, 2020",-4
France,FRA,"Feb 9, 2020",-6
France,FRA,"Feb 16, 2020",-6
France,FRA,"Feb 23, 2020",-8
France,FRA,"Mar 1, 2020",-7
France,FRA,"Mar 8, 2020",-4
France,FRA,"Mar 15, 2020",4
France,FRA,"Mar 22, 2020",18
France,FRA,"Mar 29, 2020",39
France,FRA,"Apr 5, 2020",65
France,FRA,"Apr 12, 2020",57
France,FRA,"Apr 19, 2020",39
France,FRA,"Apr 26, 2020",17
France,FRA,"May 3, 2020",4
France,FRA,"May 10, 2020",3
France,FRA,"May 17, 2020",1
France,FRA,"May 24, 2020",5
France,FRA,"May 31, 2020",0
France,FRA,"Jun 7, 2020",0
France,FRA,"Jun 14, 2020",-1
France,FRA,"Jun 21, 2020",-8
Germany,DEU,"Jan 5, 2020",-2
Germany,DEU,"Jan 12, 2020",-1
Germany,DEU,"Jan 19, 2020",-2
Germany,DEU,"Jan 26, 2020",-5
Germany,DEU,"Feb 2, 2020",-3
Germany,DEU,"Feb 9, 2020",-6
Germany,DEU,"Feb 16, 2020",-5
Germany,DEU,"Feb 23, 2020",-10
Germany,DEU,"Mar 1, 2020",-10
Germany,DEU,"Mar 8, 2020",-8
Germany,DEU,"Mar 15, 2020",-3
Germany,DEU,"Mar 22, 2020",1
Germany,DEU,"Mar 29, 2020",4
Germany,DEU,"Apr 5, 2020",12
Germany,DEU,"Apr 12, 2020",14
Germany,DEU,"Apr 19, 2020",10
Germany,DEU,"Apr 26, 2020",6
Germany,DEU,"May 3, 2020",5
Germany,DEU,"May 10, 2020",2
Germany,DEU,"May 17, 2020",0
Germany,DEU,"May 24, 2020",3
Germany,DEU,"May 31, 2020",-1
Germany,DEU,"Jun 7, 2020",4
Germany,DEU,"Jun 14, 2020",3
Germany,DEU,"Jun 21, 2020",-2
Germany,DEU,"Jun 28, 2020",4
Germany,DEU,"Jul 5, 2020",-1
Germany,DEU,"Jul 12, 2020",-1
Germany,DEU,"Jul 19, 2020",-3
Germany,DEU,"Jul 26, 2020",-6
Hungary,HUN,"Jan 5, 2020",-10
Hungary,HUN,"Jan 12, 2020",-12
Hungary,HUN,"Jan 19, 2020",-12
Hungary,HUN,"Jan 26, 2020",-10
Hungary,HUN,"Feb 2, 2020",-8
Hungary,HUN,"Feb 9, 2020",-14
Hungary,HUN,"Feb 16, 2020",-8
Hungary,HUN,"Feb 23, 2020",-13
Hungary,HUN,"Mar 1, 2020",-4
Hungary,HUN,"Mar 8, 2020",-7
Hungary,HUN,"Mar 15, 2020",-5
Hungary,HUN,"Mar 22, 2020",6
Hungary,HUN,"Mar 29, 2020",0
Hungary,HUN,"Apr 5, 2020",1
Hungary,HUN,"Apr 12, 2020",4
Hungary,HUN,"Apr 19, 2020",3
Hungary,HUN,"Apr 26, 2020",-3
Hungary,HUN,"May 3, 2020",-5
Hungary,HUN,"May 10, 2020",-1
Hungary,HUN,"May 17, 2020",3
Hungary,HUN,"May 24, 2020",-7
Hungary,HUN,"May 31, 2020",-4
Hungary,HUN,"Jun 7, 2020",6
Hungary,HUN,"Jun 14, 2020",0
Hungary,HUN,"Jun 21, 2020",-8
Hungary,HUN,"Jun 28, 2020",2
Hungary,HUN,"Jul 5, 2020",1
Hungary,HUN,"Jul 12, 2020",-7
Hungary,HUN,"Jul 19, 2020",-10
Hungary,HUN,"Jul 26, 2020",-13
Iceland,ISL,"Jan 5, 2020",24
Iceland,ISL,"Jan 12, 2020",15
Iceland,ISL,"Jan 19, 2020",17
Iceland,ISL,"Jan 26, 2020",23
Iceland,ISL,"Feb 2, 2020",-14
Iceland,ISL,"Feb 16, 2020",4
Iceland,ISL,"Feb 23, 2020",4
Iceland,ISL,"Mar 8, 2020",10
Iceland,ISL,"Mar 22, 2020",-6
Iceland,ISL,"Mar 29, 2020",-11
Iceland,ISL,"Apr 5, 2020",15
Iceland,ISL,"Apr 12, 2020",10
Iceland,ISL,"Apr 19, 2020",23
Iceland,ISL,"May 3, 2020",7
Iceland,ISL,"May 10, 2020",-11
Iceland,ISL,"May 24, 2020",15
Iceland,ISL,"May 31, 2020",17
Iceland,ISL,"Jun 14, 2020",-2
Iceland,ISL,"Jun 21, 2020",-20
Iceland,ISL,"Jun 28, 2020",-28
Iceland,ISL,"Jul 5, 2020",-19
Iceland,ISL,"Jul 12, 2020",20
Iceland,ISL,"Jul 19, 2020",7
Iceland,ISL,"Jul 26, 2020",-22
Iceland,ISL,"Aug 2, 2020",-3
Iceland,ISL,"Aug 16, 2020",-8
Israel,ISR,"Jan 5, 2020",8
Israel,ISR,"Jan 12, 2020",-4
Israel,ISR,"Jan 19, 2020",6
Israel,ISR,"Jan 26, 2020",-5
Israel,ISR,"Feb 2, 2020",-6
Israel,ISR,"Feb 9, 2020",-10
Israel,ISR,"Feb 16, 2020",-2
Israel,ISR,"Feb 23, 2020",0
Israel,ISR,"Mar 1, 2020",-6
Israel,ISR,"Mar 8, 2020",-1
Israel,ISR,"Mar 15, 2020",4
Israel,ISR,"Mar 22, 2020",3
Israel,ISR,"Mar 29, 2020",10
Israel,ISR,"Apr 5, 2020",18
Israel,ISR,"Apr 12, 2020",5
Israel,ISR,"Apr 19, 2020",12
Israel,ISR,"Apr 26, 2020",5
Israel,ISR,"May 3, 2020",2
Israel,ISR,"May 10, 2020",5
Israel,ISR,"May 17, 2020",6
Israel,ISR,"May 24, 2020",20
Israel,ISR,"May 31, 2020",6
Israel,ISR,"Jun 7, 2020",4
Israel,ISR,"Jun 14, 2020",4
Israel,ISR,"Jun 21, 2020",3
Israel,ISR,"Jun 28, 2020",2
Israel,ISR,"Jul 5, 2020",0
Israel,ISR,"Jul 12, 2020",9
Israel,ISR,"Jul 19, 2020",8
Israel,ISR,"Jul 26, 2020",0
Israel,ISR,"Aug 2, 2020",9
Israel,ISR,"Aug 9, 2020",-13
Italy,ITA,"Jan 5, 2020",-12
Italy,ITA,"Jan 12, 2020",-10
Italy,ITA,"Jan 19, 2020",-8
Italy,ITA,"Jan 26, 2020",-5
Italy,ITA,"Feb 2, 2020",-5
Italy,ITA,"Feb 9, 2020",-4
Italy,ITA,"Feb 16, 2020",-3
Italy,ITA,"Feb 23, 2020",-4
Italy,ITA,"Mar 1, 2020",0
