aggregation,date,google_mobility_level_rolling_mean_stage,new_deaths_rolling_mean_stage,new_cases_rolling_mean_stage,state,new_cases,new_deaths,population,google_mobility_level,google_mobility_level_by_pop,new_cases_rolling_mean,new_deaths_rolling_mean,google_mobility_level_rolling_mean,new_cases_rolling_mean_rel,new_deaths_rolling_mean_rel,google_mobility_level_rolling_mean_rel,new_cases_rolling_mean_stage_day,new_deaths_rolling_mean_stage_day,google_mobility_level_rolling_mean_stage_day,new_cases_rolling_mean_cummax
Illinois,2020-03-10,,,,Illinois,12.0,,12671821.0,101.66666666666669,1288301801.6666667,2.7142857142857144,,104.76190476190473,0.0010580831987525756,,1.0,,,,2.7142857142857144
Delaware,2020-03-10,,,,Delaware,0.0,0.0,973764.0,103.66666666666669,100946868.0,,,,,,,,,,
Wisconsin,2020-03-10,,,,Wisconsin,1.0,,5822434.0,103.66666666666669,603592324.6666667,0.2857142857142857,,105.8095238095238,0.00029708853238265005,,1.0,,,,0.2857142857142857
us,2020-03-10,,,,,441.0,2.0,321347020.0,100.91173018190743,,253.7142857142857,3.2857142857142856,103.43048799745858,0.0038172368879202507,0.0015920260261646018,0.9744192712331528,,,,253.7142857142857
New Jersey,2020-03-10,,,,New Jersey,4.0,,8882190.0,98.66666666666669,876376080.0,,,,,,,,,,
Alaska,2020-03-10,,,,Alaska,0.0,0.0,731545.0,102.66666666666669,75105286.66666667,,,,,,,,,,
Georgia,2020-03-10,,,,Georgia,5.0,,10617423.0,100.33333333333331,1065281441.0,2.4285714285714284,,102.85714285714286,0.0006484094896635897,,0.9953917050691246,,,,2.4285714285714284
Wyoming,2020-03-10,,,,Wyoming,0.0,,578759.0,106.66666666666669,61734293.33333334,,,,,,,,,,
North Dakota,2020-03-10,,,,North Dakota,0.0,,762062.0,104.33333333333331,79508468.66666666,,,,,,,,,,
Mississippi,2020-03-10,,,,Mississippi,0.0,,2976149.0,105.0,312495645.0,,,,,,,,,,
Missouri,2020-03-10,,,,Missouri,0.0,,6137428.0,104.0,638292512.0,,,,,,,,,,
Louisiana,2020-03-10,,,,Louisiana,0.0,,4648794.0,105.66666666666669,491222566.0,,,,,,,,,,
Florida,2020-03-10,,,,Florida,1.0,,21477737.0,102.0,2190729174.0,2.7142857142857144,,102.0,0.0002286677097123601,,1.0,,,,2.7142857142857144
Idaho,2020-03-10,,,,Idaho,0.0,,1787065.0,107.33333333333331,191811643.3333333,,,,,,,,,,
West Virginia,2020-03-10,,,,West Virginia,0.0,,1792147.0,105.0,188175435.0,,,,,,,,,,
Maryland,2020-03-10,,,,Maryland,1.0,,6045680.0,101.66666666666669,614644133.3333334,,,,,,,,,,
New Hampshire,2020-03-10,,,,New Hampshire,0.0,,1359711.0,104.0,141409944.0,0.5714285714285714,,105.76190476190477,0.0055248618784530384,,1.0,,,,0.5714285714285714
Alabama,2020-03-10,,,,Alabama,0.0,,4903185.0,104.66666666666669,513200030.0,,,,,,,,,,
Washington,2020-03-10,,,,Washington,216.0,2.0,7614893.0,91.66666666666669,698031858.3333334,131.28571428571428,3.2857142857142856,95.76190476190472,0.1349882491186839,0.1377245508982036,0.9058558558558556,,,,131.28571428571428
Maine,2020-03-10,,,,Maine,0.0,,1344212.0,104.33333333333331,140246118.66666666,,,,,,,,,,
Nebraska,2020-03-11,,,,Nebraska,2.0,,1934408.0,104.33333333333331,201823234.66666663,0.7142857142857143,,105.38095238095242,0.0016318537859007832,,1.0,,,,0.7142857142857143
New Jersey,2020-03-11,,,,New Jersey,9.0,1.0,8882190.0,98.33333333333331,873415350.0,3.4285714285714284,,101.61904761904762,0.0009331259720062207,,1.0,,,,3.4285714285714284
West Virginia,2020-03-11,,,,West Virginia,0.0,,1792147.0,105.66666666666669,189370199.6666667,,,,,,,,,,
Mississippi,2020-03-11,,,,Mississippi,0.0,,2976149.0,106.0,315471794.0,,,,,,,,,,
South Carolina,2020-03-11,,,,South Carolina,2.0,,5148714.0,107.0,550912398.0,1.2857142857142858,,107.28571428571428,0.0006597756762700683,,0.991637323943662,,,,1.2857142857142858
Indiana,2020-03-11,,,,Indiana,4.0,,6732219.0,104.66666666666669,704638922.0,,,,,,,,,,
Texas,2020-03-11,,,,Texas,8.0,,28995881.0,102.33333333333331,2967245155.6666665,2.8571428571428568,,103.61904761904762,0.00028879615323523886,,0.9995406522737712,,,,2.8571428571428568
District of Columbia,2020-03-11,,,,District of Columbia,0.0,,705749.0,98.33333333333331,69398651.66666666,0.7142857142857143,,102.04761904761904,0.003690036900369004,,1.0,,,,0.7142857142857143
Michigan,2020-03-11,,,,Michigan,139.0,,9986857.0,104.0,1038633128.0,63.57142857142857,,106.61904761904758,0.04993827853215127,,0.9872134038800704,,,,63.57142857142857
Wisconsin,2020-03-11,,,,Wisconsin,1.0,,5822434.0,103.0,599710702.0,0.2857142857142857,,105.5238095238095,0.00029708853238265005,,0.9972997299729972,,,,0.2857142857142857
us,2020-03-11,,,,,527.0,6.0,321347020.0,101.70959124604093,,302.2857142857143,3.8571428571428568,103.22878770299978,0.004548014220067146,0.001868900117671489,0.9725190515035608,,,,302.2857142857143
Tennessee,2020-03-11,,,,Tennessee,0.0,,6829174.0,103.66666666666669,707957704.6666667,1.0,,105.95238095238096,0.00041828503137137735,,1.0,,,,1.0
New Hampshire,2020-03-11,,,,New Hampshire,0.0,,1359711.0,103.66666666666669,140956707.0,0.2857142857142857,,105.61904761904762,0.0027624309392265192,,0.9986492570914002,,,,0.5714285714285714
Delaware,2020-03-11,,,,Delaware,1.0,0.0,973764.0,103.0,100297692.0,,,,,,,,,,
Maine,2020-03-11,,,,Maine,0.0,,1344212.0,105.33333333333331,141590330.66666666,,,,,,,,,,
Nevada,2020-03-11,,,,Nevada,4.0,0.0,3080156.0,101.33333333333331,312122474.6666666,0.7142857142857143,0.0,100.61904761904762,0.0006099048548426447,0.0,1.0,,,,0.7142857142857143
New Mexico,2020-03-11,,,,New Mexico,3.0,,2096829.0,107.0,224360703.0,,,,,,,,,,
Alaska,2020-03-11,,,,Alaska,0.0,0.0,731545.0,102.33333333333331,74861438.33333333,,,,,,,,,,
Arizona,2020-03-11,,,,Arizona,3.0,,7278717.0,97.66666666666669,710888027.0,1.0,,102.90476190476193,0.00026014568158168577,,0.9890160183066362,,,,1.0
Montana,2020-03-11,,,,Montana,0.0,,1068778.0,104.33333333333331,111509171.33333331,,,,,,,,,,
