state,date,new_cases,new_deaths,population,google_mobility_level,google_mobility_level_by_pop,aggregation,new_cases_rolling_mean,new_deaths_rolling_mean,google_mobility_level_rolling_mean,new_cases_rolling_mean_rel,new_deaths_rolling_mean_rel,google_mobility_level_rolling_mean_rel
Wisconsin,2020-03-07,0.0,,5822434.0,111.66666666666667,650171796.6666667,Wisconsin,,,,,,
Alaska,2020-03-07,0.0,0.0,731545.0,108.0,79006860.0,Alaska,,,,,,
California,2020-03-07,9.0,,39512223.0,98.66666666666667,3898539336.0,California,,,,,,
Indiana,2020-03-07,0.0,,6732219.0,114.0,767472966.0,Indiana,,,,,,
Rhode Island,2020-03-07,0.0,,1059361.0,101.33333333333333,107348581.33333333,Rhode Island,0.42857142857142855,,104.0,0.0011428571428571427,,1.0
Utah,2020-03-07,1.0,,3205958.0,105.0,336625590.0,Utah,,,,,,
Arkansas,2020-03-07,0.0,,3017804.0,108.66666666666667,327934701.3333334,Arkansas,,,,,,
Pennsylvania,2020-03-07,2.0,,12801989.0,106.66666666666667,1365545493.3333335,Pennsylvania,,,,,,
Colorado,2020-03-07,6.0,,5758736.0,104.33333333333333,600828122.6666666,Colorado,,,,,,
Kansas,2020-03-07,0.0,,2913314.0,111.33333333333333,324348958.6666666,Kansas,,,,,,
Oregon,2020-03-07,4.0,,4217737.0,104.0,438644648.0,Oregon,,,,,,
South Carolina,2020-03-07,2.0,,5148714.0,110.66666666666667,569791016.0,South Carolina,,,,,,
Oklahoma,2020-03-07,1.0,,3956971.0,109.66666666666667,433947819.6666667,Oklahoma,,,,,,
Ohio,2020-03-07,0.0,,11689100.0,110.0,1285801000.0,Ohio,,,,,,
Illinois,2020-03-07,1.0,,12671821.0,111.33333333333333,1410796071.3333333,Illinois,,,,,,
New York,2020-03-07,43.0,,19453561.0,105.33333333333333,2049108425.3333333,New York,,,,,,
Virginia,2020-03-07,0.0,,8535519.0,105.0,896229495.0,Virginia,,,,,,
Nevada,2020-03-07,0.0,0.0,3080156.0,100.66666666666667,310069037.3333334,Nevada,,,,,,
New Mexico,2020-03-07,0.0,,2096829.0,108.33333333333333,227156475.0,New Mexico,,,,,,
Montana,2020-03-07,0.0,,1068778.0,107.66666666666667,115071764.66666667,Montana,,,,,,
Wyoming,2020-03-07,0.0,,578759.0,112.66666666666667,65206847.333333336,Wyoming,,,,,,
Hawaii,2020-03-07,1.0,,1415872.0,99.0,140171328.0,Hawaii,,,,,,
Connecticut,2020-03-07,0.0,,3565287.0,106.66666666666667,380297280.0,Connecticut,,,,,,
South Dakota,2020-03-07,0.0,,884659.0,110.0,97312490.0,South Dakota,,,,,,
Texas,2020-03-07,3.0,,28995881.0,106.33333333333333,3083228679.6666665,Texas,,,,,,
North Carolina,2020-03-07,0.0,,10488084.0,106.33333333333333,1115232932.0,North Carolina,,,,,,
Michigan,2020-03-07,30.0,,9986857.0,112.0,1118527984.0,Michigan,18.285714285714285,,108.0,0.014364268881158118,,1.0
Delaware,2020-03-07,0.0,,973764.0,111.0,108087804.0,Delaware,,,,,,
West Virginia,2020-03-07,0.0,,1792147.0,109.66666666666667,196538787.6666667,West Virginia,,,,,,
New Hampshire,2020-03-07,0.0,,1359711.0,106.66666666666667,145035840.0,New Hampshire,,,,,,
Alabama,2020-03-07,0.0,,4903185.0,112.33333333333333,550791115.0,Alabama,,,,,,
Nebraska,2020-03-07,1.0,,1934408.0,108.0,208916064.0,Nebraska,,,,,,
Florida,2020-03-07,5.0,,21477737.0,102.66666666666667,2205047665.3333335,Florida,,,,,,
Kentucky,2020-03-07,1.0,,4467673.0,111.33333333333333,497400927.3333333,Kentucky,,,,,,
North Dakota,2020-03-07,0.0,,762062.0,110.0,83826820.0,North Dakota,,,,,,
Arizona,2020-03-07,2.0,,7278717.0,104.66666666666667,761839046.0,Arizona,,,,,,
Missouri,2020-03-07,0.0,,6137428.0,110.66666666666667,679208698.6666667,Missouri,,,,,,
Washington,2020-03-07,99.0,1.0,7614893.0,96.66666666666667,736106323.3333334,Washington,87.57142857142857,3.142857142857143,99.61904761904759,0.09004112808460635,0.13173652694610777,0.9423423423423423
Louisiana,2020-03-07,0.0,,4648794.0,109.0,506718546.0,Louisiana,,,,,,
Idaho,2020-03-07,0.0,,1787065.0,107.0,191215955.0,Idaho,,,,,,
Maryland,2020-03-07,0.0,,6045680.0,104.66666666666667,632781173.3333334,Maryland,,,,,,
Maine,2020-03-07,0.0,,1344212.0,106.33333333333333,142934542.66666666,Maine,,,,,,
Vermont,2020-03-07,1.0,,623989.0,112.33333333333333,70094764.33333333,Vermont,,,,,,
New Jersey,2020-03-07,3.0,,8882190.0,105.66666666666667,938551410.0,New Jersey,,,,,,
District of Columbia,2020-03-07,0.0,,705749.0,101.33333333333333,71515898.66666666,District of Columbia,,,,,,
Iowa,2020-03-07,0.0,,3155070.0,112.33333333333333,354419530.0,Iowa,,,,,,
Tennessee,2020-03-07,0.0,,6829174.0,111.0,758038314.0,Tennessee,,,,,,
Georgia,2020-03-07,4.0,,10617423.0,108.0,1146681684.0,Georgia,,,,,,
,2020-03-08,267.0,4.0,321347020.0,106.06680001264672,,us,164.28571428571428,3.2857142857142856,104.17548881883714,0.0024717468587321443,0.0015920260261646018,0.9814379286086609
Montana,2020-03-08,0.0,,1068778.0,108.33333333333333,115784283.33333333,Montana,,,,,,
Indiana,2020-03-08,1.0,,6732219.0,111.66666666666667,751764455.0,Indiana,,,,,,
Tennessee,2020-03-08,2.0,,6829174.0,109.33333333333333,746656357.3333333,Tennessee,,,,,,
Kentucky,2020-03-08,0.0,,4467673.0,108.33333333333333,483997908.3333333,Kentucky,,,,,,
Delaware,2020-03-08,0.0,0.0,973764.0,108.66666666666667,105815688.0,Delaware,,,,,,
